id,code,accounting_id,name,initial_balance,final_balance,debit_movement,credit_movement,third_party_type_id,third_party_id,currency_id,year,month,deleted_at,created_at,updated_at
1,1.0,1,Activo,0.0,-45000.0,3525000.0,3570000.0,Contact,1,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
2,1.0,1,Activo,0.0,3550000.0,3570000.0,20000.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
3,1.0,1,Activo,0.0,0.0,59500.0,59500.0,Contact,13,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
4,1.0,1,Activo,0.0,3730.769231,59500.0,55769.230769,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
5,1.0,1,Activo,0.0,27818.0,149940.0,122122.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
6,1.0,1,Activo,0.0,197499.0,5549501.0,5352002.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
7,1.0,1,Activo,0.0,450000.0,450000.0,0.0,Contact,71,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
8,1.0,1,Activo,0.0,9500.0,529500.0,520000.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
9,1.0,1,Activo,0.0,2423000.0,2423000.0,0.0,Contact,105,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
10,1.0,1,Activo,0.0,100000.0,100000.0,0.0,Contact,114,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
11,1.0,1,Activo,0.0,122124.0,122124.0,0.0,Contact,117,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
12,1.0,1,Activo,0.0,-269884.58,467736.42,737621.0,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
13,1.0,1,Activo,0.0,-127500.0,4972500.0,5100000.0,Contact,142,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
14,1.0,1,Activo,0.0,281943.0,5594445.0,5312502.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
15,1.0,1,Activo,0.0,1886099.0,7196100.0,5310001.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
16,2.0,2,Pasivos,0.0,-45000.0,45000.0,0.0,Contact,1,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
17,2.0,2,Pasivos,0.0,570000.0,0.0,570000.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
18,2.0,2,Pasivos,0.0,9500.0,0.0,9500.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
19,2.0,2,Pasivos,0.0,23940.0,0.0,23940.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
20,2.0,2,Pasivos,0.0,47500.0,0.0,47500.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
21,2.0,2,Pasivos,0.0,450000.0,85500.0,535500.0,Contact,71,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
22,2.0,2,Pasivos,0.0,9500.0,0.0,9500.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
23,2.0,2,Pasivos,0.0,2423000.0,0.0,2423000.0,Contact,105,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
24,2.0,2,Pasivos,0.0,100000.0,19000.0,119000.0,Contact,114,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
25,2.0,2,Pasivos,0.0,122124.0,23203.56,145327.56,Contact,117,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
26,2.0,2,Pasivos,0.0,1235.23,0.0,1235.23,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
27,2.0,2,Pasivos,0.0,-127500.0,127500.0,0.0,Contact,142,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
28,2.0,2,Pasivos,0.0,78945.0,0.0,78945.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
29,2.0,2,Pasivos,0.0,332500.0,0.0,332500.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
30,4.0,4,Ingresos,0.0,3000000.0,0.0,3000000.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
31,4.0,4,Ingresos,0.0,50000.0,0.0,50000.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
32,4.0,4,Ingresos,0.0,126000.0,0.0,126000.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
33,4.0,4,Ingresos,0.0,5502001.0,0.0,5502001.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
34,4.0,4,Ingresos,0.0,520000.0,0.0,520000.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
35,4.0,4,Ingresos,0.0,466501.19,0.0,466501.19,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
36,4.0,4,Ingresos,0.0,5515500.0,0.0,5515500.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
37,4.0,4,Ingresos,0.0,6863600.0,0.0,6863600.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
38,6.0,6,Costos De Ventas,0.0,20000.0,20000.0,0.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
39,6.0,6,Costos De Ventas,0.0,55769.230769,55769.230769,0.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
40,6.0,6,Costos De Ventas,0.0,122122.0,122122.0,0.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
41,6.0,6,Costos De Ventas,0.0,5352002.0,5352002.0,0.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
42,6.0,6,Costos De Ventas,0.0,520000.0,520000.0,0.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
43,6.0,6,Costos De Ventas,0.0,737621.0,737621.0,0.0,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
44,6.0,6,Costos De Ventas,0.0,5312502.0,5312502.0,0.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
45,6.0,6,Costos De Ventas,0.0,5310001.0,5310001.0,0.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
46,1.1,11,Efectivo Y Equivalentes Del Efectivo,0.0,3525000.0,3525000.0,0.0,Contact,1,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
47,1.1,11,Efectivo Y Equivalentes Del Efectivo,0.0,59500.0,59500.0,0.0,Contact,13,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
48,1.1,11,Efectivo Y Equivalentes Del Efectivo,0.0,4972500.0,4972500.0,0.0,Contact,142,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
49,1.3,13,Cuentas Por Cobrar,0.0,-3570000.0,0.0,3570000.0,Contact,1,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
50,1.3,13,Cuentas Por Cobrar,0.0,3570000.0,3570000.0,0.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
51,1.3,13,Cuentas Por Cobrar,0.0,-59500.0,0.0,59500.0,Contact,13,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
52,1.3,13,Cuentas Por Cobrar,0.0,59500.0,59500.0,0.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
53,1.3,13,Cuentas Por Cobrar,0.0,149940.0,149940.0,0.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
54,1.3,13,Cuentas Por Cobrar,0.0,5549501.0,5549501.0,0.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
55,1.3,13,Cuentas Por Cobrar,0.0,529500.0,529500.0,0.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
56,1.3,13,Cuentas Por Cobrar,0.0,467736.42,467736.42,0.0,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
57,1.3,13,Cuentas Por Cobrar,0.0,-5100000.0,0.0,5100000.0,Contact,142,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
58,1.3,13,Cuentas Por Cobrar,0.0,5594445.0,5594445.0,0.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
59,1.3,13,Cuentas Por Cobrar,0.0,7196100.0,7196100.0,0.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
60,1.4,14,Inventarios,0.0,-20000.0,0.0,20000.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
61,1.4,14,Inventarios,0.0,-55769.230769,0.0,55769.230769,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
62,1.4,14,Inventarios,0.0,-122122.0,0.0,122122.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
63,1.4,14,Inventarios,0.0,-5352002.0,0.0,5352002.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
64,1.4,14,Inventarios,0.0,450000.0,450000.0,0.0,Contact,71,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
65,1.4,14,Inventarios,0.0,-520000.0,0.0,520000.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
66,1.4,14,Inventarios,0.0,2423000.0,2423000.0,0.0,Contact,105,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
67,1.4,14,Inventarios,0.0,100000.0,100000.0,0.0,Contact,114,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
68,1.4,14,Inventarios,0.0,122124.0,122124.0,0.0,Contact,117,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
69,1.4,14,Inventarios,0.0,-737621.0,0.0,737621.0,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
70,1.4,14,Inventarios,0.0,-5312502.0,0.0,5312502.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
71,1.4,14,Inventarios,0.0,-5310001.0,0.0,5310001.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
72,2.2,22,Proveedores,0.0,535500.0,0.0,535500.0,Contact,71,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
73,2.2,22,Proveedores,0.0,2423000.0,0.0,2423000.0,Contact,105,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
74,2.2,22,Proveedores,0.0,119000.0,0.0,119000.0,Contact,114,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
75,2.2,22,Proveedores,0.0,145327.56,0.0,145327.56,Contact,117,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
76,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-45000.0,45000.0,0.0,Contact,1,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
77,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,570000.0,0.0,570000.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
78,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,9500.0,0.0,9500.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
79,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,23940.0,0.0,23940.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
80,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,47500.0,0.0,47500.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
81,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-85500.0,85500.0,0.0,Contact,71,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
82,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,9500.0,0.0,9500.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
83,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-19000.0,19000.0,0.0,Contact,114,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
84,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-23203.56,23203.56,0.0,Contact,117,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
85,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,1235.23,0.0,1235.23,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
86,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,-127500.0,127500.0,0.0,Contact,142,,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
87,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,78945.0,0.0,78945.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
88,2.4,24,"24 Impuestos, Gravámenes Y Tasas",0.0,332500.0,0.0,332500.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
89,4.1,41, Ordinarios,0.0,3000000.0,0.0,3000000.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
90,4.1,41, Ordinarios,0.0,50000.0,0.0,50000.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
91,4.1,41, Ordinarios,0.0,126000.0,0.0,126000.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
92,4.1,41, Ordinarios,0.0,5502001.0,0.0,5502001.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
93,4.1,41, Ordinarios,0.0,520000.0,0.0,520000.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
94,4.1,41, Ordinarios,0.0,466501.19,0.0,466501.19,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
95,4.1,41, Ordinarios,0.0,5515500.0,0.0,5515500.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
96,4.1,41, Ordinarios,0.0,6863600.0,0.0,6863600.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
97,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,20000.0,20000.0,0.0,Contact,1,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
98,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,55769.230769,55769.230769,0.0,Contact,13,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
99,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,122122.0,122122.0,0.0,Contact,34,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
100,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,5352002.0,5352002.0,0.0,Contact,42,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
101,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,520000.0,520000.0,0.0,Contact,80,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
102,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,737621.0,737621.0,0.0,Contact,138,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
103,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,5312502.0,5312502.0,0.0,Contact,142,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
104,6.1,61,Costo De Ventas Y Prestación De Servicios,0.0,5310001.0,5310001.0,0.0,Contact,145,COP,2024,2,,2024-03-01 00:00:26,2024-03-01 00:00:26
